Solutions for Problem 3:
x = 0.0, y = 0.0
x = 0.5050505050505051, y = 0.255076012651770
x = 1.0101010101010102, y = 1.02030405060708
x = 1.5151515151515151, y = 2.29568411386593
x = 2.0202020202020203, y = 4.08121620242832
x = 2.5252525252525255, y = 6.37690031629426
x = 3.0303030303030303, y = 9.18273645546373
x = 3.5353535353535355, y = 12.4987246199367
x = 4.040404040404041, y = 16.3248648097133
x = 4.545454545454546, y = 20.6611570247934
x = 5.050505050505051, y = 25.5076012651770
x = 5.555555555555556, y = 30.8641975308642
x = 6.0606060606060606, y = 36.7309458218549
x = 6.565656565656566, y = 43.1078461381492
x = 7.070707070707071, y = 49.9948984797470
x = 7.575757575757576, y = 57.3921028466483
x = 8.080808080808081, y = 65.2994592388532
x = 8.585858585858587, y = 73.7169676563616
x = 9.090909090909092, y = 82.6446280991736
x = 9.595959595959597, y = 92.0824405672891
x = 10.101010101010102, y = 102.030405060708
x = 10.606060606060607, y = 112.488521579431
x = 11.111111111111112, y = 123.456790123457
x = 11.616161616161618, y = 134.935210692786
x = 12.121212121212121, y = 146.923783287420
x = 12.626262626262626, y = 159.422507907356
x = 13.131313131313131, y = 172.431384552597
x = 13.636363636363637, y = 185.950413223141
x = 14.141414141414142, y = 199.979593918988
x = 14.646464646464647, y = 214.518926640139
x = 15.151515151515152, y = 229.568411386593
x = 15.656565656565657, y = 245.128048158351
x = 16.161616161616163, y = 261.197836955413
x = 16.666666666666668, y = 277.777777777778
x = 17.171717171717173, y = 294.867870625446
x = 17.67676767676768, y = 312.468115498419
x = 18.181818181818183, y = 330.578512396694
x = 18.68686868686869, y = 349.199061320274
x = 19.191919191919194, y = 368.329762269156
x = 19.6969696969697, y = 387.970615243343
x = 20.202020202020204, y = 408.121620242832
x = 20.70707070707071, y = 428.782777267626
x = 21.212121212121215, y = 449.954086317723
x = 21.71717171717172, y = 471.635547393123
x = 22.222222222222225, y = 493.827160493827
x = 22.72727272727273, y = 516.528925619835
x = 23.232323232323235, y = 539.740842771146
x = 23.73737373737374, y = 563.462911947761
x = 24.242424242424242, y = 587.695133149679
x = 24.747474747474747, y = 612.437506376900
x = 25.252525252525253, y = 637.690031629426
x = 25.757575757575758, y = 663.452708907254
x = 26.262626262626263, y = 689.725538210387
x = 26.767676767676768, y = 716.508519538823
x = 27.272727272727273, y = 743.801652892562
x = 27.77777777777778, y = 771.604938271605
x = 28.282828282828284, y = 799.918375675951
x = 28.78787878787879, y = 828.741965105601
x = 29.292929292929294, y = 858.075706560555
x = 29.7979797979798, y = 887.919600040812
x = 30.303030303030305, y = 918.273645546373
x = 30.80808080808081, y = 949.137843077237
x = 31.313131313131315, y = 980.512192633405
x = 31.81818181818182, y = 1012.39669421488
x = 32.323232323232325, y = 1044.79134782165
x = 32.82828282828283, y = 1077.69615345373
x = 33.333333333333336, y = 1111.11111111111
x = 33.83838383838384, y = 1145.03622079380
x = 34.343434343434346, y = 1179.47148250179
x = 34.84848484848485, y = 1214.41689623508
x = 35.35353535353536, y = 1249.87246199367
x = 35.85858585858586, y = 1285.83817977757
x = 36.36363636363637, y = 1322.31404958678
x = 36.86868686868687, y = 1359.30007142128
x = 37.37373737373738, y = 1396.79624528109
x = 37.87878787878788, y = 1434.80257116621
x = 38.38383838383839, y = 1473.31904907663
x = 38.88888888888889, y = 1512.34567901235
x = 39.3939393939394, y = 1551.88246097337
x = 39.8989898989899, y = 1591.92939495970
x = 40.40404040404041, y = 1632.48648097133
x = 40.909090909090914, y = 1673.55371900826
x = 41.41414141414142, y = 1715.13110907050
x = 41.919191919191924, y = 1757.21865115805
x = 42.42424242424243, y = 1799.81634527089
x = 42.929292929292934, y = 1842.92419140904
x = 43.43434343434344, y = 1886.54218957249
x = 43.939393939393945, y = 1930.67033976125
x = 44.44444444444445, y = 1975.30864197531
x = 44.949494949494955, y = 2020.45709621467
x = 45.45454545454546, y = 2066.11570247934
x = 45.959595959595966, y = 2112.28446076931
x = 46.46464646464647, y = 2158.96337108458
x = 46.969696969696976, y = 2206.15243342516
x = 47.47474747474748, y = 2253.85164779104
x = 47.979797979797986, y = 2302.06101418223
x = 48.484848484848484, y = 2350.78053259871
x = 48.98989898989899, y = 2400.01020304051
x = 49.494949494949495, y = 2449.75002550760
x = 50.0, y = 2500.00000000000
